"","FIPS","Area","STATE","IS_D","tmp","prec","POPULATION","ST_AAP_TOT_TOT","ST_POPULATION","ST_GR_INCOME_PC"
"46","06009","Calaveras, CA","CALIFORNIA",0,56.525,2.67583333333333,45039,56038.5046348172,37650514,2.74378427635196
"47","06011","Colusa, CA","CALIFORNIA",0,59.9833333333333,1.8625,21349,56038.5046348172,37650514,2.74378427635196
"48","06013","Contra Costa, CA","CALIFORNIA",0,58.6833333333333,1.3075,1066804,56038.5046348172,37650514,2.74378427635196
"49","06015","Del Norte, CA","CALIFORNIA",0,51.275,5.6125,28414,56038.5046348172,37650514,2.74378427635196
"50","06017","El Dorado, CA","CALIFORNIA",0,52.3583333333333,3.4725,180748,56038.5046348172,37650514,2.74378427635196
"51","06021","Glenn, CA","CALIFORNIA",0,58.7583333333333,1.87916666666667,28203,56038.5046348172,37650514,2.74378427635196
"52","06023","Humboldt, CA","CALIFORNIA",0,53.0166666666667,4.26416666666667,135419,56038.5046348172,37650514,2.74378427635196
"53","06025","Imperial, CA","CALIFORNIA",0,73.2833333333333,0.210833333333333,175632,56038.5046348172,37650514,2.74378427635196
"54","06027","Inyo, CA","CALIFORNIA",0,59.9,0.326666666666667,18502,56038.5046348172,37650514,2.74378427635196
"55","06029","Kern, CA","CALIFORNIA",0,60.7083333333333,0.559166666666667,849606,56038.5046348172,37650514,2.74378427635196
"56","06031","Kings, CA","CALIFORNIA",0,62.1833333333333,0.581666666666667,151765,56038.5046348172,37650514,2.74378427635196
"57","06033","Lake, CA","CALIFORNIA",0,55.9916666666667,3.1075,64694,56038.5046348172,37650514,2.74378427635196
"58","06035","Lassen, CA","CALIFORNIA",0,45.8666666666667,1.39,34595,56038.5046348172,37650514,2.74378427635196
"59","06039","Madera, CA","CALIFORNIA",0,54.8416666666667,1.67083333333333,151545,56038.5046348172,37650514,2.74378427635196
"60","06041","Marin, CA","CALIFORNIA",0,54.65,2.37416666666667,255904,56038.5046348172,37650514,2.74378427635196
"61","06043","Mariposa, CA","CALIFORNIA",0,53.7583333333333,2.34916666666667,18193,56038.5046348172,37650514,2.74378427635196
"62","06045","Mendocino, CA","CALIFORNIA",0,54.3166666666667,3.575,87969,56038.5046348172,37650514,2.74378427635196
"63","06047","Merced, CA","CALIFORNIA",0,60.8333333333333,0.836666666666667,259518,56038.5046348172,37650514,2.74378427635196
"64","06049","Modoc, CA","CALIFORNIA",0,45.5166666666667,1.2175,9499,56038.5046348172,37650514,2.74378427635196
"65","06051","Mono, CA","CALIFORNIA",0,43.2,1.16,14256,56038.5046348172,37650514,2.74378427635196
"66","06053","Monterey, CA","CALIFORNIA",0,57.525,1.69166666666667,421259,56038.5046348172,37650514,2.74378427635196
"67","06055","Napa, CA","CALIFORNIA",0,58.1583333333333,2.29416666666667,137865,56038.5046348172,37650514,2.74378427635196
"68","06057","Nevada, CA","CALIFORNIA",0,50.725,3.6225,99021,56038.5046348172,37650514,2.74378427635196
"69","06061","Placer, CA","CALIFORNIA",0,52.2083333333333,3.345,356610,56038.5046348172,37650514,2.74378427635196
"70","06063","Plumas, CA","CALIFORNIA",0,46.2916666666667,2.99833333333333,19819,56038.5046348172,37650514,2.74378427635196
